movieId,title,genres,tmdb_id,budget,revenue,runtime,release_date,original_language,director,top_cast,production_companies,production_countries,keywords
17,Sense and Sensibility (1995),Drama|Romance,4584.0,16000000.0,134582776.0,136.0,1995-12-13,en,Ang Lee,Emma Thompson|Kate Winslet|Alan Rickman,Columbia Pictures|Mirage Enterprises|Good Machine,United States of America|United Kingdom,"secret love|london, england|countryside|based on novel or book|widow|military officer|servant|country life|pneumonia|inheritance|period drama|rainstorm|decorum|horse carriage|young love|dowry|social class|19th century|penniless|social elite|bloodletting|free spirited|sussex|sisters love|marry for money|secret engagement|devonshire, england"
18,Four Rooms (1995),Comedy,5.0,4000000.0,4257354.0,98.0,1995-12-09,en,Robert Rodriguez|Alexandre Rockwell|Allison Anders,Tim Roth|Jennifer Beals|David Proval,Miramax|A Band Apart,United States of America,"hotel|new year's eve|witch|bet|sperm|hotel room|anthology|los angeles, california|hoodlum|multiple storylines|woman director"
19,Ace Ventura: When Nature Calls (1995),Comedy,9273.0,30000000.0,212385533.0,90.0,1995-11-10,en,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow,Morgan Creek Entertainment,United States of America,kidnapping|africa|indigenous|human animal relationship|bat|stupidity|slapstick comedy|animals|pets
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517.0,68000000.0,77224232.0,110.0,1995-11-21,en,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez,Columbia Pictures|Peters Entertainment,United States of America,new york city|sibling relationship|subway|new york subway|train robbery
21,Get Shorty (1995),Comedy|Crime|Thriller,8012.0,30250000.0,115101622.0,105.0,1995-10-20,en,Barry Sonnenfeld,John Travolta|Gene Hackman|Rene Russo,Metro-Goldwyn-Mayer|Jersey Films,United States of America,"based on novel or book|miami, florida|gambling|gangster|money|murder|travel|mobster|mafia|business|debt|hollywood|drugs|producer|con"
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710.0,20000000.0,32000000.0,124.0,1995-10-27,en,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney,Regency Enterprises,United States of America,police brutality|psychology|police operation|police protection|psychologist|serial killer|cowardliness
23,Assassins (1995),Action|Crime|Thriller,9691.0,50000000.0,30303072.0,132.0,1995-10-06,en,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore,Warner Bros. Pictures|Silver Pictures|Donner/Shuler-Donner Productions,United States of America,"rescue|central intelligence agency (cia)|hitman|cat|bank|mexican standoff|seattle, washington|mission of murder|hidden camera|rivalry|shootout|police chase|sniper rifle|detroit, michigan|silencer|double cross|caribbean sea"
24,Powder (1995),Drama|Sci-Fi,12665.0,9500000.0,30900000.0,112.0,1995-10-27,en,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,Hollywood Pictures|Caravan Pictures,United States of America,teenage boy|held at gunpoint|teacher student relationship|albino|fainting|christ allegory|psionic power|healing power|flickering light|extrasensory perception|pale|powerful
25,Leaving Las Vegas (1995),Drama|Romance,451.0,3600000.0,49800000.0,111.0,1995-10-27,en,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands,Initial Productions|Lumière Pictures,France|United Kingdom,"hotel room|dying and death|individual|prostitute|lovesickness|rage and hate|casino|unsociability|alcohol|love at first sight|movie business|screenwriter|alcoholism|los angeles, california|las vegas|alcohol abuse|dramatic|depressing|tragic"
26,Othello (1995),Drama,16420.0,11000000.0,2800000.0,123.0,1995-12-15,en,Oliver Parker,Laurence Fishburne|Irène Jacob|Kenneth Branagh,Castle Rock Entertainment|Dakota Films,United Kingdom|United States of America,jealousy|based on play or musical|friends|the moors (people)
27,Now and Then (1995),Children|Drama,9263.0,12000000.0,27400000.0,102.0,1995-10-20,en,Lesli Linka Glatter,Christina Ricci|Rosie O'Donnell|Thora Birch,New Line Cinema,United States of America,1970s|female friendship|coming of age|gynecologist|photocopier|truth or dare|woman director
28,Persuasion (1995),Drama|Romance,17015.0,1500000.0,5269757.0,104.0,1995-05-01,en,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood,BBC Film|Millésime Productions|GBH|France 2,France|United Kingdom|United States of America,marriage proposal|strong woman|based on novel or book|love triangle|marriage|unrequited love|family in peril|old flame|admiral|bankruptcy|marriage broker|lovers reunited|lovers reunion|betrothal|rejected suitor
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902.0,18000000.0,1738611.0,112.0,1995-05-17,fr,Marc Caro|Jean-Pierre Jeunet,Ron Perlman|Dominique Pinon|Judith Vittet,Constellation|Lumière Pictures|Le Studio Canal+|France 3 Cinéma|Elías Querejeta PC|Tele München,France|Germany|Spain|United Kingdom,rescue|friendship|island|dreams|clone|dystopia|eye|aging|steampunk|childhood|child kidnapping|flea
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557.0,2300000.0,,108.0,1995-09-14,zh,Zhang Yimou,Gong Li|Li Baotian|Sun Chun,Alpha Films|La Sept Cinéma|UGC|Shanghai Film Studios,China|France,"shanghai, china|chinese mafia|coming of age|mistress|criminal underworld|drug lord|triad|modern china|nightclub singer|1930s|cabaret singer|chinese triad"
31,Dangerous Minds (1995),Drama,9909.0,23000000.0,179519401.0,99.0,1995-08-11,en,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance,Don Simpson/Jerry Bruckheimer Films|Hollywood Pictures|Via Rosa Productions,United States of America,high school|california|rap music|karate|naval officer|teacher|based on memoir or autobiography|amusement park|schoolteacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63.0,29000000.0,168841459.0,129.0,1995-12-29,en,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt,Universal Pictures|Atlas Entertainment|Classico|Twelve Monkeys Productions,United States of America,"biological weapon|philadelphia, pennsylvania|schizophrenia|stockholm syndrome|airplane|world war i|underground|insanity|asylum|paranoia|prison cell|dystopia|pimp|lion|post-apocalyptic future|time travel|florida keys|mental breakdown|melancholy|past|dormitory|insane asylum|volunteer|drug use|flashback|remake|psychiatric hospital|jail|mental institution|alternate history|disease|lethal virus|paradox|psychiatrist|monkey|epidemic|trapped|street life|nonlinear timeline|medical research|gas mask|psychosis|subterranean|virus|mysterious|recurring dream|1990s|escaped animal|future noir|animal research|anxious|2030s|inspirational|suspenseful|critical|intense|complicated"
33,Wings of Courage (1995),Adventure|Romance|IMAX,78802.0,,,40.0,1995-06-16,en,Jean-Jacques Annaud,Craig Sheffer|Elizabeth McGovern|Tom Hulce,Iwerks Entertainment|Sony Pictures Classics,France|United States of America,
34,Babe (1995),Children|Drama,9598.0,30000000.0,254100000.0,92.0,1995-07-18,en,Chris Noonan,Christine Cavanaugh|Miriam Margolyes|Danny Mann,Universal Pictures|Kennedy Miller Productions,Australia|United States of America,farm|sheep|pig|alarm clock|cat|duck|heroism|affection|piglet|anthropomorphism|based on children's book|dog|separation|animals|farmer|grandson|sheepdog|talking pig|christmas
35,Carrington (1995),Drama|Romance,47018.0,,,121.0,1995-05-25,en,Christopher Hampton,Emma Thompson|Jonathan Pryce|Steven Waddington,Cinéa|Freeway Films|Orsans Productions|PolyGram Filmed Entertainment|Euston Films|Le Studio Canal+,France|United Kingdom,england|painter|conscientious objector|soldier|polyamory
36,Dead Man Walking (1995),Crime|Drama,687.0,11000000.0,39363635.0,122.0,1995-12-29,en,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky,Havoc|PolyGram Filmed Entertainment|Working Title Films|PolyGram Video|Gramercy Pictures,United States of America|United Kingdom,prison|death penalty|right and justice|rape|rage and hate|unsociability|court case|court|nun|penalty|therapist|sentence|forgiveness|self-discovery|despair|prison cell|socially deprived family|death row|doomed man|death sentence|lethal injection|charity|mercy petition|cowardliness|catholic|angry|dreary|incredulous|depressing|bitter|callous|horrified
37,Across the Sea of Time (1995),Documentary|IMAX,139405.0,,16015639.0,51.0,1995-10-20,en,Stephen Low,Peter Reznick|John McDonough|Avi Hoffman,Sony New Technologies|Columbia Pictures|Sony Pictures Classics,United States of America,
38,It Takes Two (1995),Children|Comedy,33689.0,14500000.0,19474589.0,101.0,1995-11-17,en,Andy Tennant,Kirstie Alley|Steve Guttenberg|Ashley Olsen,Dualstar Productions|Orr & Cruickshank|Rysher Entertainment,United States of America,matchmaking|orphan|identical twin|relationship sabotage
39,Clueless (1995),Comedy|Romance,9603.0,12000000.0,56631572.0,97.0,1995-07-19,en,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy,Paramount Pictures|Robert Lawrence Productions|Scott Rudin Productions,United States of America,puberty|high school|based on novel or book|make a match|spoiled child|coming of age|matchmaking|conflict|wedding|high school friends|makeover|woman director|popular girl|matchmaker|gay theme|match making|cheerful
40,"Cry, the Beloved Country (1995)",Drama,34615.0,,676525.0,106.0,1995-12-15,en,Darrell James Roodt,Richard Harris|James Earl Jones|Charles S. Dutton,Alpine Pty Limited|Distant Horizon|Miramax,South Africa|United States of America,based on novel or book|south africa|apartheid|priest|1940s|race relations
41,Richard III (1995),Drama|War,31174.0,,2748518.0,104.0,1995-12-29,en,Richard Loncraine,Ian McKellen|Annette Bening|Jim Broadbent,Mayfair Entertainment International|British Screen|United Artists|First Look Pictures|Bayly/Paré Productions|Metro-Goldwyn-Mayer,United Kingdom,england|kidnapping|murder|king
42,Dead Presidents (1995),Action|Crime|Drama,11443.0,10000000.0,24100000.0,119.0,1995-09-29,en,Albert Hughes|Allen Hughes,Larenz Tate|Keith David|Chris Tucker,Caravan Pictures|Underworld Pictures|Hollywood Pictures,United States of America,"new york city|vietnam|drug abuse|post-traumatic stress disorder (ptsd)|war veteran|1970s|minister|male friendship|redemption|loss of virginity|heist|money|milkman|battlefield|high school graduation|revolutionary|courtroom|mercy killing|armored truck|bronx, new york city|medic|1960s|war trauma|african american|economic struggle"
43,Restoration (1995),Drama,35196.0,19000000.0,4005941.0,117.0,1995-12-29,en,Michael Hoffman,Robert Downey Jr.|Meg Ryan|Sam Neill,Miramax,United States of America,jealousy|court|fountain|medicine|wealth|spaniel|gloves|17th century|british monarchy
44,Mortal Kombat (1995),Action|Adventure|Fantasy,9312.0,18000000.0,122195920.0,101.0,1995-08-18,en,Paul W. S. Anderson,Robin Shou|Cary-Hiroyuki Tagawa|Linden Ashby,New Line Cinema|Threshold Entertainment,United States of America,island|martial arts|monster|saving the world|magic|villain|gore|god|alternate dimension|ninja|sorcerer|tournament|underground fighting|based on video game|ghost|nostalgic|hand to hand combat|warrior|action hero|supernatural power|mortal kombat|good versus evil
45,To Die For (1995),Comedy|Drama|Thriller,577.0,20000000.0,21300000.0,106.0,1995-09-22,en,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix,Columbia Pictures|The Rank Organisation|Laura Ziskin Productions,United Kingdom|United States of America,pedophilia|adultery|based on novel or book|winter|obsession|housewife|new hampshire|mockumentary|mafia|newswoman|ice skating|murder trial|narcissistic personality disorder|satirical|fame-seeking|tv presenter|weather girl|punks|punk kids
46,How to Make an American Quilt (1995),Drama|Romance,11861.0,10000000.0,41200020.0,116.0,1995-10-06,en,Jocelyn Moorhouse,Winona Ryder|Anne Bancroft|Ellen Burstyn,Universal Pictures|Amblin Entertainment,United States of America,marriage proposal|wedding vows|married couple|marriage|monogamy|advice|quilt|love|family holiday|extramarital affair|grandmother|woman director
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807.0,33000000.0,327311859.0,127.0,1995-09-22,en,David Fincher,Morgan Freeman|Brad Pitt|Gwyneth Paltrow,New Line Cinema|Juno Pix|Arnold Kopelson Productions,United States of America,rage and hate|police|s.w.a.t.|sadism|self-fulfilling prophecy|psychopath|detective|investigation|insomnia|murder|serial killer|religion|shootout|corpse|seven deadly sins|depravity|neo-noir|urban gothic|suspenseful|seven: los siete pecados capitales
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530.0,55000000.0,346079773.0,81.0,1995-06-16,en,Mike Gabriel|Eric Goldberg,Irene Bedard|Mel Gibson|David Ogden Stiers,Walt Disney Feature Animation,United States of America,"culture clash|cartoon|villain|colony|forbidden love|musical|native american|unrequited love|interracial romance|colonisation|virginia|star crossed lovers|intercultural relationship|based on myths, legends or folklore|17th century|shamanism|animal sidekick|search for gold|1600s"
49,When Night Is Falling (1995),Drama|Romance,8391.0,,,96.0,1995-02-01,en,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny,Alliance Films,Canada,professor|lgbt|woman director|lesbian
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629.0,6000000.0,23300000.0,106.0,1995-07-19,en,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Benicio del Toro,Bad Hat Harry Productions|Blue Parrot Productions,United States of America,"new york city|robbery|relatives|heist|flashback|police corruption|whodunit|los angeles, california|theft|criminal|criminal mastermind|cargo ship|mind game|neo-noir|mystery villain|suspenseful|intense|excited|rashomon effect"
51,Guardian Angel (1994),Action|Drama|Thriller,117164.0,,,97.0,1994-11-14,en,Richard W. Munchkin,Cynthia Rothrock|Marshall R. Teague|Daniel McVicar,PM Entertainment Group,United States of America,martial arts|helicopter|bodyguard|police officer killed|boat chase|police officer|female martial artist|female police officer|police surveillance|counterfeit money|mental hospital|murder of a police officer|jetski|corrupt cop|female bodyguard|shooting a police officer|speedboat chase|horse polo
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448.0,15000000.0,26000000.0,95.0,1995-09-13,en,Woody Allen,Woody Allen|Mira Sorvino|Helena Bonham Carter,Miramax|Jean Doumanian Productions|Sweetland Films,United States of America,prostitute|adoption|adoptive father|child prodigy|childlessness|looking for  birth parents|porn star|adoptive mother|illegal prostitution|pygmalion|kids|adopted son
53,Lamerica (1994),Adventure|Drama,49133.0,,,112.0,1994-09-09,it,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani,Alia Film|Cecchi Gori Group Tiger Cinematografica|Arena Films|RAI|Vega Film|Canal+,France|Italy,
54,"Big Green, The (1995)",Children|Comedy,26441.0,,,100.0,1995-09-29,en,Holly Goldberg Sloan,Olivia D'Abo|Steve Guttenberg|Chauncey Leopardi,Caravan Pictures|Walt Disney Pictures,United States of America,sports|football (soccer)|woman director
55,Georgia (1995),Drama,97406.0,,1110974.0,115.0,1995-05-19,en,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine,CiBy 2000|Georgia Film Corporation,United States of America|France,"sibling relationship|alcohol|heroin|seattle, washington|artist|singer|drugs|folk singer|sister sister relationship"
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,124057.0,,,89.0,1995-12-15,en,Robert Tinnell,Johnny Morina|Malcolm McDowell|Maggie Castle,Melenny Productions|Téléfilm Canada|Malofilm Communications Inc.,Canada|United States of America,sword|king arthur|excalibur
57,Home for the Holidays (1995),Drama,9089.0,20000000.0,22119269.0,103.0,1995-11-02,en,Jodie Foster,Holly Hunter|Robert Downey Jr.|Anne Bancroft,Egg Pictures|PolyGram Filmed Entertainment,United States of America,"holiday|generations conflict|baltimore, usa|thanksgiving|family clan|family conflict|woman director|christmas"
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010.0,3000000.0,33000000.0,114.0,1994-09-22,it,Michael Radford,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta,Esterno Mediterraneo Film|Cecchi Gori Group Tiger Cinematografica|K2 Two|Blue Dahlia Productions|Penta Film,Italy|France|Belgium,"island|fisherman|letter|postman|poet|naples, italy|love|poverty|1950s"
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,99040.0,,,100.0,1995-09-29,fr,Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette,Cinéa|Cinémaginaire|Enigma Productions|Téléfilm Canada|Film4 Productions,Canada|United Kingdom,
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,11359.0,45000000.0,35700000.0,96.0,1995-07-14,en,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse,Paramount Pictures|The Kennedy/Marshall Company|Columbia Pictures,United States of America,based on novel or book|cupboard|puppet|based on children's book|game|parallel world|toy comes to life|toy soldier
61,Eye for an Eye (1996),Drama|Thriller,17182.0,20000000.0,26877589.0,101.0,1996-01-12,en,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris,Paramount Pictures,United States of America,rape|gun|self-defense|rape and revenge|grieving parents
62,Mr. Holland's Opus (1995),Drama,2054.0,31000000.0,106300000.0,143.0,1995-12-29,en,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas,Hollywood Pictures|Interscope Communications|PolyGram Filmed Entertainment|The Charlie Mopic Company,United States of America,"high school|husband wife relationship|composer|music teacher|mentor|deaf-mute|portland, oregon|marching band|teacher student relationship|high school teacher|disabled|teaching|retirement party|sign languages|forced retirement|1960s|1990s|father son relationship|inspiring teacher"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,10607.0,3800000.0,20949601.0,89.0,1996-01-12,en,Paris Barclay,Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones,Ivory Way Productions|Island Pictures,United States of America,hip-hop|slang|date|gangster|cousin|parody|social satire|hood|gang|racism|satirical
64,Two if by Sea (1996),Comedy|Romance,19760.0,,10658278.0,96.0,1996-01-12,en,Bill Bennett,Sandra Bullock|Denis Leary|Yaphet Kotto,Morgan Creek Entertainment,United States of America,"island|boston, massachusetts|car thief|painting|romcom|rhode island|thief|mansion|art thief|new england|art theft|stealing a car|seasickness|squatting|1990s|stolen car|fbi agent|criminals"
65,Bio-Dome (1996),Comedy,9536.0,8500000.0,13400000.0,95.0,1996-01-12,en,Jason Bloom,Pauly Shore|Stephen Baldwin|William Atherton,Weasel Productions|Metro-Goldwyn-Mayer|3 Arts Entertainment|Motion Picture Corporation of America,United States of America,pollution|biotope|vegetarian|biosphere
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525.0,15000000.0,2409225.0,92.0,1996-01-12,en,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien,New Line Cinema,United States of America,computer|hacker|virtual reality|technology|sword fight|revenge|cyberpunk|scientist|cyberspace|surveillance|based on short story|world domination|supernatural power
67,Two Bits (1995),Drama,40628.0,,,85.0,1995-10-22,en,James Foley,Jerry Barone|Al Pacino|Mary Elizabeth Mastrantonio,Miramax,United States of America,
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4482.0,,,95.0,1995-01-18,fr,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat,Les Films Flam|Renn Productions|TF1 Films Production,France,estate agent|van|love triangle|southern france|menage a trois|polyamory|woman director
69,Friday (1995),Comedy,10634.0,3500000.0,28215918.0,91.0,1995-04-26,en,F. Gary Gray,Ice Cube|Chris Tucker|Nia Long,New Line Cinema|Ice Cube/Pat Charbonnet Productions|Priority Films,United States of America,"drug dealer|rap music|parent child relationship|rapper|male friendship|urban life|slacker|pot smoking|bully|marijuana|los angeles, california|drugs"
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755.0,19000000.0,25800000.0,108.0,1996-01-19,en,Robert Rodriguez,George Clooney|Quentin Tarantino|Harvey Keitel,Los Hooligans Productions|A Band Apart|Dimension Films,United States of America,dancing|showdown|sheriff|sibling relationship|vampire|bank robber|holy water|siege|stripper|priest|bank robbery|preacher|hostage situation|crucifix|recreational vehicle|mexican american border|female stripping|boa constrictor|loss of faith|foot fetish|killer on the run|brothers|barefoot
71,Fair Game (1995),Action,11859.0,50000000.0,11500000.0,91.0,1995-11-03,en,Andrew Sipes,William Baldwin|Cindy Crawford|Steven Berkoff,Silver Pictures|Warner Bros. Pictures,United States of America,"hacker|based on novel or book|miami, florida|bomb|chase|sadism|kidnapping|hostage|psychopath|spy|detective|handcuffs|fbi|kgb|pizza|parking garage|police protection|car crash|remake|fugitive|on the run|conspiracy|shootout|gunfight|sadist|foot chase|police detective|police station|held at gunpoint|double cross|machine gun|grenade launcher|rogue agent|woman lawyer|damsel in distress"
72,Kicking and Screaming (1995),Comedy|Drama,28387.0,,718490.0,96.0,1995-10-06,en,Noah Baumbach,Josh Hamilton|Olivia D'Abo|Chris Eigeman,Castleberg Productions|Sandollar Productions|Trimark Pictures,United States of America,friendship|college|male friendship|campus|video store|graduate
73,"Misérables, Les (1995)",Drama|War,48750.0,,,175.0,1995-03-22,fr,Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines,TF1|Les Films 13|Canal+,France,"paris, france|nun|boxer|lawyer"
74,Bed of Roses (1996),Drama|Romance,20927.0,,19030691.0,87.0,1996-01-26,en,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon,New Line Cinema|Juno Pix,United States of America,florist|family relationships
75,Big Bully (1996),Comedy|Drama,36929.0,15000000.0,2042530.0,90.0,1996-01-26,en,Steve Miner,Rick Moranis|Tom Arnold|Julianne Phillips,Morgan Creek Entertainment,United States of America,bully
76,Screamers (1995),Action|Sci-Fi|Thriller,9102.0,20000000.0,5781885.0,108.0,1995-09-08,en,Christian Duguay,Peter Weller|Jennifer Rubin|Roy Dupuis,Fuji Eight Company Ltd.|Allegro Films|Fries Film Group|Super Ecran|Triumph Films|The Movie Network|Fries Film Company|Triumph|Allegro Film,Canada|Japan|United States of America,man vs machine|alien planet|struggle for survival|android horror
