movieId,title,tmdb_id,genres,runtime,release_date,original_language,cast_frequency,director_frequency,avg_rating,num_ratings
327,Tank Girl (1995),9067.0,Action|Comedy|Sci-Fi,104.0,1995-03-31,en,34,2,2.8079,8684
336,"Walking Dead, The (1995)",95963.0,Drama|War,88.0,1995-02-24,en,9,0,2.8706,313
343,"Baby-Sitters Club, The (1995)",48287.0,Children,94.0,1995-08-18,en,0,1,2.6681,1026
403,Two Crimes (Dos crímenes) (1995),172923.0,Comedy|Crime|Drama,108.0,1995-05-26,es,5,0,2.3611,18
585,"Brady Bunch Movie, The (1995)",9066.0,Comedy,89.0,1995-02-16,en,13,1,2.6126,11305
603,"Bye Bye, Love (1995)",30528.0,Comedy,106.0,1995-03-16,en,32,1,2.9343,639
605,One Fine Day (1996),7300.0,Drama|Romance,108.0,1996-12-20,en,21,4,3.2873,3952
611,Hellraiser: Bloodline (1996),8766.0,Action|Horror|Sci-Fi,86.0,1996-03-08,en,5,9,2.5298,2032
612,"Pallbearer, The (1996)",23570.0,Comedy,97.0,1996-05-03,en,4,1,2.7279,1711
613,Jane Eyre (1996),47333.0,Drama|Romance,113.0,1996-01-20,en,32,9,3.6356,2932
619,Ed (1996),32308.0,Comedy,94.0,1996-03-15,en,2,1,2.5915,792
633,Denise Calls Up (1995),47449.0,Comedy,80.0,1995-05-17,en,3,0,3.3875,351
638,Jack and Sarah (1995),2021.0,Romance,110.0,1995-06-02,en,15,1,3.2882,621
640,Diabolique (1996),10988.0,Drama|Thriller,107.0,1996-03-22,en,37,3,2.9759,3428
644,Happy Weekend (1996),339428.0,Comedy,95.0,1996-03-14,de,0,0,2.4762,21
660,August (1996),161070.0,Drama,94.0,1996-08-08,en,41,0,3.1287,101
662,Fear (1996),10543.0,Thriller,97.0,1996-04-12,en,7,6,3.2525,3256
673,Space Jam (1996),2300.0,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,87.0,1996-11-15,en,2,1,2.7792,14127
692,Solo (1996),29621.0,Action|Sci-Fi|Thriller,94.0,1996-08-23,en,20,1,2.3178,936
732,Original Gangstas (1996),40507.0,Crime,99.0,1996-05-10,en,63,16,2.7977,257
734,Getting Away With Murder (1996),25697.0,Comedy,88.0,1996-04-12,en,74,1,2.6765,68
739,Honey Moon (Honigmond) (1996),314352.0,Comedy,92.0,1996-04-11,de,5,0,1.9333,15
748,"Arrival, The (1996)",10547.0,Action|Sci-Fi|Thriller,115.0,1996-05-31,en,28,0,3.1724,5865
779,'Til There Was You (1997),32872.0,Drama|Romance,113.0,1997-05-30,en,9,0,2.8271,532
782,"Fan, The (1996)",9566.0,Drama|Thriller,116.0,1996-08-15,en,61,8,2.8719,3098
783,"Hunchback of Notre Dame, The (1996)",10545.0,Animation|Children|Drama|Musical|Romance,91.0,1996-06-21,en,41,2,3.2522,14324
784,"Cable Guy, The (1996)",9894.0,Comedy|Thriller,96.0,1996-06-10,en,25,1,2.7173,18480
787,"Gate of Heavenly Peace, The (1995)",52059.0,Documentary,180.0,1995-10-14,en,10,0,3.6719,96
802,Phenomenon (1996),9294.0,Drama|Romance,123.0,1996-07-05,en,31,5,3.4557,15346
805,"Time to Kill, A (1996)",1645.0,Drama|Thriller,149.0,1996-07-24,en,21,10,3.6895,14554
833,High School High (1996),9308.0,Comedy,86.0,1996-10-25,en,25,1,2.7098,1592
835,Foxfire (1996),18555.0,Drama,102.0,1996-08-23,en,2,1,3.1946,984
840,House Arrest (1996),18862.0,Children|Comedy,108.0,1996-08-14,en,20,3,2.7254,741
842,Tales from the Crypt Presents: Bordello of Blood (1996),9431.0,Comedy|Horror,87.0,1996-08-16,en,6,0,2.7605,2186
849,Escape from L.A. (1996),10061.0,Action|Adventure|Sci-Fi|Thriller,101.0,1996-08-09,en,57,18,2.7772,10280
881,First Kid (1996),12559.0,Children|Comedy,101.0,1996-08-30,en,0,1,2.8221,1242
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),10987.0,Horror|Thriller,88.0,1995-09-29,en,59,0,2.5905,2388
984,"Pompatus of Love, The (1996)",85328.0,Comedy|Drama,99.0,1996-07-26,en,13,1,2.6895,248
987,Bliss (1997),63945.0,Drama|Romance,103.0,1997-04-14,en,39,0,3.1801,272
999,2 Days in the Valley (1996),9401.0,Crime|Film-Noir,104.0,1996-09-11,en,35,5,3.2851,3332
1003,Extreme Measures (1996),11306.0,Drama|Thriller,118.0,1996-09-27,en,69,22,3.141,1755
1034,Freeway (1996),11229.0,Comedy|Crime|Drama|Thriller,102.0,1996-08-23,en,24,0,3.524,1726
1044,Surviving Picasso (1996),41843.0,Drama,125.0,1996-09-04,en,37,20,3.326,546
1046,Beautiful Thing (1996),10938.0,Drama|Romance,92.0,1996-06-21,en,0,0,3.9609,1498
1059,William Shakespeare's Romeo + Juliet (1996),454.0,Drama|Romance,120.0,1996-11-01,en,9,1,3.5388,13323
1167,Dear God (1996),38554.0,Comedy,112.0,1996-11-01,en,3,8,2.9335,932
1170,Best of the Best 3: No Turning Back (1995),36555.0,Action,90.0,1995-05-17,en,3,0,2.0738,183
1314,Breathing Room (1996),348138.0,Romance,90.0,1996-11-08,en,1,0,3.2115,52
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),17204.0,Documentary,150.0,1996-12-03,en,0,2,4.0689,1922
1384,"Substance of Fire, The (1996)",168535.0,Drama,102.0,1996-09-11,en,20,0,3.5725,131
1397,Bastard Out of Carolina (1996),41240.0,Drama,97.0,1996-12-15,en,28,0,3.5606,668
1405,Beavis and Butt-Head Do America (1996),3179.0,Adventure|Animation|Comedy|Crime,81.0,1996-12-20,en,35,0,2.9277,10887
1430,Underworld (1996),85242.0,Comedy|Thriller,95.0,1996-06-01,en,29,3,3.1938,227
1447,Gridlock'd (1997),12489.0,Crime,91.0,1997-01-29,en,17,0,3.2817,671
1454,SubUrbia (1997),28059.0,Comedy|Drama,121.0,1997-02-07,en,0,4,3.2115,870
1464,Lost Highway (1997),638.0,Crime|Drama|Fantasy|Film-Noir|Mystery|Romance,134.0,1997-01-15,en,30,13,3.7437,6080
1465,Rosewood (1997),25624.0,Action|Drama,142.0,1997-02-21,en,18,3,3.5164,1161
1470,Rhyme & Reason (1997),90928.0,Documentary,90.0,1997-03-04,en,0,0,3.2049,61
1479,"Saint, The (1997)",10003.0,Action|Romance|Sci-Fi|Thriller,116.0,1997-04-03,en,26,8,3.1646,10071
1489,Cats Don't Dance (1997),24662.0,Animation|Children|Musical,75.0,1997-03-26,en,3,0,3.0322,528
1497,Double Team (1997),9405.0,Action,93.0,1997-04-04,en,35,17,2.2944,907
1515,Volcano (1997),10357.0,Action|Drama|Thriller,104.0,1997-04-25,en,38,4,2.6965,4877
1518,Breakdown (1997),2163.0,Action|Thriller,93.0,1997-05-02,en,45,0,3.3265,3456
1533,"Promise, The (La promesse) (1996)",24183.0,Drama,94.0,1996-08-07,fr,0,0,3.7628,371
1538,"Second Jungle Book: Mowgli & Baloo, The (1997)",50850.0,Adventure|Children,88.0,1997-05-16,en,0,1,2.4735,151
1548,"War at Home, The (1996)",59232.0,Drama,119.0,1996-11-20,en,69,2,3.0889,45
1552,Con Air (1997),1701.0,Action|Adventure|Thriller,116.0,1997-06-05,en,56,0,3.2111,18639
1557,Squeeze (1997),49235.0,Drama,95.0,1997-06-06,en,0,0,3.18,25
1569,My Best Friend's Wedding (1997),8874.0,Comedy|Romance,105.0,1997-06-19,en,24,1,3.2778,13190
1580,Men in Black (a.k.a. MIB) (1997),607.0,Action|Comedy|Sci-Fi,98.0,1997-07-02,en,44,4,3.5953,49951
1590,Event Horizon (1997),8413.0,Horror|Sci-Fi|Thriller,96.0,1997-08-15,en,43,2,3.0297,9664
1591,Spawn (1997),10336.0,Action|Adventure|Sci-Fi|Thriller,96.0,1997-07-31,en,45,0,2.6462,6864
1609,187 (One Eight Seven) (1997),6072.0,Drama|Thriller,119.0,1997-07-29,en,29,5,3.0302,860
1620,Kiss the Girls (1997),9437.0,Crime|Drama|Mystery|Thriller,115.0,1997-09-29,en,32,2,3.3775,5756
1626,Fire Down Below (1997),14289.0,Action|Drama|Thriller,104.0,1997-09-05,en,15,0,2.4743,856
1633,Ulee's Gold (1997),55306.0,Drama,112.0,1997-06-13,en,23,1,3.6609,2622
1641,"Full Monty, The (1997)",9427.0,Comedy|Drama,91.0,1997-08-13,en,4,1,3.694,18436
1645,The Devil's Advocate (1997),1813.0,Drama|Mystery|Thriller,144.0,1997-10-17,en,43,8,3.567,17633
1648,"House of Yes, The (1997)",33344.0,Comedy|Drama,85.0,1997-10-10,en,8,0,3.5317,1704
1655,Phantoms (1998),9827.0,Drama|Horror|Thriller,96.0,1998-01-23,en,40,1,2.6033,813
1668,One Night Stand (1997),12616.0,Drama,102.0,1997-11-14,en,46,6,2.844,327
1670,Welcome to Sarajevo (1997),14905.0,Drama|War,103.0,1997-05-09,en,17,3,3.5084,771
1672,"Rainmaker, The (1997)",11975.0,Drama,135.0,1997-11-18,en,21,21,3.6149,4971
1673,Boogie Nights (1997),4995.0,Drama,156.0,1997-10-07,en,63,2,3.7077,18039
1680,Sliding Doors (1998),10215.0,Drama|Romance,99.0,1998-04-23,en,12,0,3.5066,8743
1681,Mortal Kombat: Annihilation (1997),9823.0,Action|Adventure|Fantasy,95.0,1997-11-11,en,19,0,2.1014,2816
1682,"Truman Show, The (1998)",37165.0,Comedy|Drama|Sci-Fi,103.0,1998-06-04,en,16,11,3.8926,45784
1709,Legal Deceit (1997),531591.0,Thriller,93.0,1997-11-18,en,2,0,2.7424,33
1719,"Sweet Hereafter, The (1997)",10217.0,Drama,112.0,1997-09-25,en,14,5,3.9737,4122
1732,"Big Lebowski, The (1998)",115.0,Comedy|Crime,117.0,1998-03-06,en,62,5,3.9918,37742
1752,Hard Rain (1998),11258.0,Action|Crime|Thriller,97.0,1998-01-16,en,40,1,2.7711,1988
1762,Deep Rising (1998),9457.0,Action|Horror|Sci-Fi,106.0,1998-01-30,en,15,3,2.7843,1660
1768,Mother and Son (Mat i syn) (1997),44361.0,Drama,73.0,1997-02-20,ru,1,6,3.4776,67
1772,Blues Brothers 2000 (1998),11568.0,Action|Comedy|Musical,123.0,1998-02-06,en,50,17,2.6141,3502
1809,Fireworks (Hana-bi) (1997),5910.0,Crime|Drama,103.0,1997-10-30,ja,8,5,3.9229,1387
1826,Barney's Great Adventure (1998),17644.0,Adventure|Children,76.0,1998-04-03,en,2,1,1.2343,463
1829,Chinese Box (1997),30265.0,Drama|Romance,99.0,1997-11-14,en,53,8,3.0664,301
1830,Follow the Bitch (1996),558884.0,Comedy,86.0,1996-06-01,en,0,0,2.7857,14
1837,"Odd Couple II, The (1998)",27472.0,Comedy,97.0,1998-04-09,en,100,6,2.7053,621
1839,My Giant (1998),47881.0,Comedy,103.0,1998-04-10,en,24,5,2.2952,625
1841,"Gingerbread Man, The (1998)",12488.0,Drama|Thriller,114.0,1998-01-23,en,27,29,2.9511,808
1843,Slappy and the Stinkers (1998),81367.0,Children|Comedy,78.0,1998-01-23,en,3,2,2.5283,53
1864,Sour Grapes (1998),24560.0,Comedy,91.0,1998-04-17,en,7,0,2.4634,123
1894,Six Days Seven Nights (1998),6068.0,Adventure|Comedy|Romance,102.0,1998-06-12,en,35,11,2.8755,6644
1895,Can't Hardly Wait (1998),15037.0,Comedy|Drama|Romance,100.0,1998-06-12,en,4,0,3.2031,4035
1897,High Art (1998),37636.0,Drama|Romance,101.0,1998-06-12,en,11,0,3.5449,1159
1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",21334.0,Comedy|Drama,88.0,1997-08-01,fa,0,1,3.9982,1082
1911,Dr. Dolittle (1998),3050.0,Comedy,85.0,1998-06-26,en,36,4,2.6557,9445
1918,Lethal Weapon 4 (1998),944.0,Action|Comedy|Crime|Thriller,127.0,1998-07-10,en,62,16,3.1405,11673
2153,"Avengers, The (1998)",9320.0,Action|Adventure,89.0,1998-08-13,en,66,4,2.0967,3168
2188,54 (1998),3682.0,Drama,93.0,1998-08-28,en,12,1,2.8034,2462
2191,"Merry War, A (1997)",54795.0,Comedy,101.0,1997-11-20,en,25,2,3.0045,110
2234,Let's Talk About Sex (1998),223318.0,Drama,82.0,1998-09-11,en,2,0,2.7368,76
2236,Simon Birch (1998),22796.0,Drama,114.0,1998-09-11,en,7,0,3.4436,2109
2278,Ronin (1998),8195.0,Action|Crime|Thriller,122.0,1998-09-25,en,52,30,3.5786,12998
2279,Urban Legend (1998),9877.0,Horror|Thriller,100.0,1998-09-25,en,5,0,2.6861,3216
2298,Strangeland (1998),27791.0,Thriller,86.0,1998-10-02,en,7,0,2.2908,196
2304,Love Is the Devil (1998),4975.0,Drama,92.0,1998-09-16,en,23,1,3.4091,132
2318,Happiness (1998),10683.0,Comedy|Drama,140.0,1998-10-11,en,0,1,3.8227,5495
2337,Velvet Goldmine (1998),1808.0,Drama,123.0,1998-08-28,en,13,3,3.3745,1645
2341,Dancing at Lughnasa (1998),5332.0,Drama,96.0,1998-09-04,en,28,6,3.2165,321
2356,Celebrity (1998),9466.0,Comedy,113.0,1998-09-25,en,30,30,2.9724,1322
2386,Jerry Springer: Ringmaster (1998),37536.0,Comedy|Drama,90.0,1998-11-25,en,3,0,1.6312,667
2425,"General, The (1998)",16885.0,Crime,124.0,1998-05-01,en,3,13,3.5887,648
2429,Mighty Joe Young (1998),9822.0,Action|Adventure|Drama|Fantasy|Thriller,114.0,1998-12-25,en,27,4,2.7719,1830
2447,Varsity Blues (1999),14709.0,Comedy|Drama,106.0,1999-01-15,en,18,2,3.0814,3551
2479,Gloria (1999),45712.0,Drama|Thriller,108.0,1999-01-22,en,35,38,2.4186,344
2494,"Last Days, The (1998)",20595.0,Documentary,87.0,1998-10-23,en,0,0,3.6494,231
2498,My Favorite Martian (1999),9849.0,Comedy|Sci-Fi,94.0,1999-02-11,en,47,6,2.3669,1067
2501,October Sky (1999),13466.0,Drama,107.0,1999-02-19,en,5,4,3.8519,9647
2504,200 Cigarettes (1999),15256.0,Comedy|Drama,101.0,1999-02-26,en,8,0,2.9249,1751
2507,Breakfast of Champions (1999),12479.0,Comedy|Sci-Fi,110.0,1999-02-18,en,80,16,2.6037,511
2508,"Breaks, The (1999)",15031.0,Comedy,86.0,1999-02-26,en,2,1,2.3958,24
2544,"School of Flesh, The (École de la chair, L') (1998)",77936.0,Drama|Romance,110.0,1998-11-18,fr,31,3,3.2226,137
2548,"Rage: Carrie 2, The (1999)",7341.0,Horror,105.0,1999-03-12,en,22,3,2.2464,976
2564,"Empty Mirror, The (1996)",123728.0,Drama,118.0,1996-04-09,en,4,0,2.82,25
2589,Friends & Lovers (1999),114719.0,Comedy|Drama|Romance,103.0,1999-04-16,en,5,0,2.7513,372
2625,Black Mask (Hak hap) (1996),9460.0,Action|Adventure|Crime|Sci-Fi|Thriller,99.0,1996-11-07,cn,25,0,2.9408,726
2674,"Loss of Sexual Innocence, The (1999)",15059.0,Drama|Fantasy,106.0,1999-04-29,en,15,7,2.8391,202
2682,Limbo (1999),62676.0,Drama,126.0,1999-06-04,en,19,10,3.7836,827
2687,Tarzan (1999),37135.0,Adventure|Animation|Children|Drama,88.0,1999-06-17,en,37,1,3.4884,8929
2695,"Boys, The (1998)",13821.0,Drama,86.0,1998-05-07,en,8,0,3.0,118
2712,Eyes Wide Shut (1999),345.0,Drama|Mystery|Thriller,160.0,1999-07-16,en,33,15,3.3106,21477
2714,"Wood, The (1999)",16158.0,Drama,106.0,1999-07-16,en,6,0,3.2201,652
2719,"Haunting, The (1999)",11618.0,Horror|Thriller,113.0,1999-07-23,en,36,3,2.4899,5690
2722,Deep Blue Sea (1999),8914.0,Action|Horror|Sci-Fi|Thriller,105.0,1999-07-28,en,9,7,2.7066,9825
2723,Mystery Men (1999),9824.0,Action|Comedy|Fantasy,121.0,1999-08-06,en,19,0,3.0383,10186
2724,Runaway Bride (1999),4806.0,Comedy|Romance,116.0,1999-07-30,en,48,10,2.8833,11013
2774,Better Than Chocolate (1999),18212.0,Comedy|Romance,101.0,1999-07-08,en,4,0,3.3144,803
2778,Never Talk to Strangers (1995),48781.0,Crime|Drama|Romance|Thriller,86.0,1995-10-20,en,26,5,2.5351,228
2793,"American Werewolf in Paris, An (1997)",9406.0,Comedy|Horror|Romance|Thriller,98.0,1997-05-29,en,10,0,2.6557,2466
2806,Teaching Mrs. Tingle (1999),10342.0,Comedy|Thriller,96.0,1999-08-11,en,27,0,2.482,1967
2813,"Source, The (1999)",51679.0,Documentary,88.0,1999-01-23,en,60,5,3.2724,145
2825,Rosie (1998),103793.0,Drama,97.0,1998-11-18,nl,0,0,2.9375,72
2826,"13th Warrior, The (1999)",1911.0,Action|Adventure|Fantasy,103.0,1999-08-13,en,22,8,3.1359,9478
2837,Bedrooms & Hallways (1998),40694.0,Comedy|Romance,96.0,1998-08-01,en,5,1,3.3378,222
2840,Stigmata (1999),10307.0,Drama|Thriller,103.0,1999-09-02,en,52,1,3.0309,6272
2841,Stir of Echoes (1999),11601.0,Horror|Mystery|Thriller,99.0,1999-09-10,en,33,1,3.5012,5327
2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)",1075.0,Comedy|Romance,127.0,1998-06-01,sr,2,6,4.0247,1987
2873,Lulu on the Bridge (1998),42848.0,Drama|Mystery|Romance,103.0,1998-09-06,en,64,1,2.97,233
2886,"Adventures of Elmo in Grouchland, The (1999)",16112.0,Children|Comedy,73.0,1999-10-01,en,18,0,2.3538,448
2889,"Mystery, Alaska (1999)",15198.0,Comedy|Drama,119.0,1999-10-01,en,17,2,3.306,2075
2908,Boys Don't Cry (1999),226.0,Drama,118.0,1999-09-02,en,7,0,3.7756,9846
2962,Fever Pitch (1997),1610.0,Comedy|Romance,102.0,1997-04-04,en,8,0,3.2976,546
2977,Crazy in Alabama (1999),31306.0,Comedy|Drama,112.0,1999-10-22,en,29,0,2.7201,452
2995,House on Haunted Hill (1999),11377.0,Horror|Thriller,93.0,1999-10-29,en,9,2,2.5948,3551
3001,"Suburbans, The (1999)",46286.0,Drama,81.0,1999-10-29,en,10,1,2.0407,86
3054,Pokémon: The First Movie (1998),10228.0,Adventure|Animation|Children|Fantasy|Sci-Fi,96.0,1998-07-18,ja,0,0,2.3498,2150
3078,Liberty Heights (1999),27141.0,Drama,127.0,1999-11-17,en,6,15,3.5226,840
3082,"World Is Not Enough, The (1999)",36643.0,Action|Adventure|Thriller,128.0,1999-11-17,en,35,24,3.2037,11566
3117,Ride with the Devil (1999),22267.0,Drama|Romance|War,138.0,1999-11-24,en,7,4,3.3053,606
3128,"Map of the World, A (1999)",54933.0,Drama,125.0,1999-09-13,en,39,0,3.2508,323
3148,"Cider House Rules, The (1999)",1715.0,Drama,126.0,1999-12-17,en,67,11,3.6781,8564
3149,Diamonds (1999),35118.0,Mystery,91.0,1999-12-10,en,103,0,2.5299,67
3175,Galaxy Quest (1999),926.0,Adventure|Comedy|Sci-Fi,102.0,1999-12-25,en,32,3,3.6028,18507
3187,Trans (1998),104878.0,Drama,78.0,1998-09-11,en,0,0,2.4516,31
3228,Wirey Spindell (2000),97805.0,Comedy,101.0,2000-01-21,en,5,3,2.125,28
3303,Black Tar Heroin: The Dark End of the Street (2000),79515.0,Documentary,75.0,2000-03-17,en,9,0,3.517,88
3328,Ghost Dog: The Way of the Samurai (1999),4816.0,Crime|Drama,117.0,1999-10-06,en,17,7,3.7257,5531
3454,Whatever It Takes (2000),16222.0,Comedy|Romance,94.0,2000-03-31,en,1,1,2.7652,460
3484,"Skulls, The (2000)",11478.0,Thriller,106.0,2000-03-31,en,3,6,2.7717,2869
3511,Ready to Rumble (2000),20697.0,Comedy,107.0,2000-04-07,en,12,3,2.4551,613
3540,Passion of Mind (2000),19214.0,Drama|Mystery|Romance,105.0,2000-01-07,en,22,1,2.9618,157
3582,"Jails, Hospitals & Hip-Hop (2000)",94214.0,Comedy|Documentary|Drama,90.0,2000-05-01,en,1,0,2.1667,3
3625,Better Living Through Circuitry (1999),47295.0,Documentary,85.0,1999-08-14,en,1,0,3.4122,74
3749,"Time Regained (Temps retrouvé, Le) (1999)",47439.0,Drama,163.0,1999-05-19,fr,65,9,3.2877,146
3753,"Patriot, The (2000)",2024.0,Action|Drama|War,165.0,2000-06-28,en,40,7,3.4605,19741
3755,"Perfect Storm, The (2000)",2133.0,Drama|Thriller,130.0,2000-06-29,en,39,9,3.0864,14316
3794,Chuck & Buck (2000),44490.0,Comedy|Drama,96.0,2000-07-14,en,1,1,3.252,897
3829,Mad About Mambo (2000),43079.0,Comedy|Romance,92.0,2000-04-04,en,16,0,2.9388,49
3831,Saving Grace (2000),2360.0,Comedy,93.0,2000-01-24,en,7,0,3.6571,1766
3854,Aimée & Jaguar (1999),2211.0,Drama|Romance|War,125.0,1999-02-11,de,2,0,3.6723,357
3874,"Couch in New York, A (1996)",47434.0,Comedy|Drama|Romance,104.0,1996-02-21,fr,26,13,3.1422,116
3880,"Ballad of Ramblin' Jack, The (2000)",161687.0,Documentary,112.0,2000-08-16,en,30,0,3.4688,112
3884,"Crew, The (2000)",19150.0,Comedy,88.0,2000-08-21,en,89,3,2.355,269
3892,Anatomy (Anatomie) (2000),1698.0,Horror,103.0,2000-02-03,de,2,1,2.9545,396
3956,Lost Souls (2000),10383.0,Drama|Horror|Thriller,97.0,2000-10-13,en,21,0,2.3833,664
3973,Book of Shadows: Blair Witch 2 (2000),11531.0,Crime|Horror|Mystery|Thriller,90.0,2000-10-27,en,1,3,1.9983,1750
3976,Stardom (2000),47302.0,Comedy|Drama,100.0,2000-10-13,en,40,2,2.7254,71
3981,Red Planet (2000),8870.0,Action|Sci-Fi|Thriller,106.0,2000-11-10,en,25,0,2.7819,4520
3997,Dungeons & Dragons (2000),11849.0,Action|Adventure|Comedy|Fantasy,107.0,2000-12-08,en,28,0,2.071,2670
3999,Vertical Limit (2000),11678.0,Action|Adventure,124.0,2000-12-08,en,35,5,2.846,4331
4011,Snatch (2000),107.0,Comedy|Crime|Thriller,103.0,2000-09-01,en,0,2,4.0711,33628
4016,"Emperor's New Groove, The (2000)",11688.0,Adventure|Animation|Children|Comedy|Fantasy,78.0,2000-12-15,en,35,1,3.647,11806
4022,Cast Away (2000),8358.0,Drama,143.0,2000-12-22,en,43,13,3.6851,33648
4024,"House of Mirth, The (2000)",25520.0,Romance,135.0,2000-10-13,en,39,7,3.4034,699
4027,"O Brother, Where Art Thou? (2000)",134.0,Adventure|Comedy|Crime,107.0,2000-08-30,en,24,6,3.8745,30754
4034,Traffic (2000),1900.0,Crime|Drama|Thriller,147.0,2000-12-27,en,40,9,3.787,21364
4073,"Invisible Circus, The (2001)",18856.0,Drama|Romance,93.0,2001-02-23,en,19,1,2.7087,103
4075,"Monkey's Tale, A (Château des singes, Le) (1999)",37949.0,Animation|Children,80.0,1999-06-02,fr,1,1,2.3,10
4144,In the Mood For Love (Fa yeung nin wa) (2000),843.0,Drama|Romance,99.0,2000-09-29,cn,48,6,4.0589,4270
4151,"Taste of Others, The (Le goût des autres) (2000)",10697.0,Comedy|Drama|Romance,112.0,2000-03-01,fr,9,0,3.5643,451
4154,Recess: School's Out (2001),19405.0,Animation|Children,82.0,2001-02-16,en,6,0,2.9501,481
4162,See Spot Run (2001),39180.0,Comedy,94.0,2001-03-02,en,10,1,2.3252,246
4163,Carman: The Champion (2001),35569.0,Action|Drama,90.0,2001-03-02,en,8,0,2.1375,40
4224,Exit Wounds (2001),10877.0,Action|Thriller,101.0,2001-03-16,en,19,1,2.6443,977
4259,"Luzhin Defence, The (2000)",52654.0,Drama|Romance,109.0,2000-08-21,en,21,3,3.3696,322
4301,Calle 54 (2000),115810.0,Documentary|Musical,105.0,2000-09-15,en,0,5,3.375,80
4305,Angel Eyes (2001),5852.0,Romance|Thriller,102.0,2001-05-18,en,12,5,2.712,1047
4310,Pearl Harbor (2001),676.0,Action|Drama|Romance|War,183.0,2001-05-21,en,23,3,2.8547,14418
4314,Our Song (2000),48109.0,Drama,95.0,2000-01-21,en,0,1,3.3182,66
4344,Swordfish (2001),9705.0,Action|Crime|Drama,99.0,2001-06-08,en,46,2,3.0883,8983
4366,Atlantis: The Lost Empire (2001),10865.0,Adventure|Animation|Children|Fantasy,95.0,2001-06-02,en,71,4,3.3682,5279
4382,Wolves (1999),15564.0,Documentary|IMAX,40.0,1999-03-01,en,2,2,3.0227,44
4386,Cats & Dogs (2001),10992.0,Children|Comedy,87.0,2001-06-23,en,33,0,2.5505,3304
4449,Adanggaman (2000),78248.0,Drama,90.0,2000-08-31,fr,0,1,3.05,30
4451,Jump Tomorrow (2001),25985.0,Comedy|Drama|Romance,97.0,2001-11-09,en,6,0,3.5053,95
4639,America's Sweethearts (2001),11467.0,Comedy|Romance,102.0,2001-07-17,en,48,2,2.8426,4961
4643,Planet of the Apes (2001),869.0,Action|Adventure|Drama|Sci-Fi,120.0,2001-07-26,en,42,12,2.759,13162
4719,Osmosis Jones (2001),12610.0,Action|Animation|Comedy|Crime|Drama|Romance|Thriller,95.0,2001-08-10,en,24,7,2.8732,1825
